,Depth,Water Temp
0,3.5,15
1,4.1,15
2,5.1,15
3,5.2,15
4,5.4,15
5,5.0,15
6,4.8,15
7,4.3,15
8,3.6,15
9,4.3,15
10,5.0,15
11,5.3,15
12,5.9,15
13,6.6,15
14,5.9,15
15,5.7,15
16,5.7,15
17,5.6,15
18,6.1,15
19,7.2,15
20,9.0,14
21,10.2,14
22,11.6,14
23,12.4,14
24,13.7,14
25,15.1,14
26,15.9,14
27,16.7,14
28,18.1,14
29,19.3,13
30,20.6,13
31,21.7,13
32,22.5,13
33,23.0,12
34,23.8,12
35,24.9,12
36,25.7,12
37,26.5,12
38,27.5,11
39,28.7,11
40,29.8,11
41,30.8,11
42,32.0,11
43,33.1,11
44,33.8,11
45,35.0,10
46,35.9,10
47,36.5,10
48,37.1,10
49,38.5,10
50,39.8,10
51,41.2,10
52,42.7,10
53,43.9,10
54,44.6,9
55,44.8,9
56,45.1,9
57,45.7,9
58,45.5,9
59,46.1,9
60,46.3,9
61,45.7,9
62,46.0,9
63,45.7,9
64,45.1,9
65,45.3,9
66,45.2,9
67,45.2,9
68,45.3,9
69,45.6,9
70,45.7,9
71,46.2,9
72,45.9,8
73,45.7,8
74,45.8,8
75,45.2,8
76,45.6,8
77,45.7,8
78,45.1,8
79,44.3,8
80,44.4,8
81,44.5,8
82,44.5,8
83,45.1,8
84,45.7,8
85,45.9,8
86,45.6,8
87,45.9,8
88,46.3,8
89,46.3,8
90,46.0,8
91,45.3,8
92,45.3,8
93,45.7,8
94,45.8,8
95,45.8,8
96,45.7,8
97,45.5,8
98,45.0,8
99,44.7,8
100,45.2,8
101,45.5,8
102,44.1,8
103,44.3,8
104,44.9,8
105,44.8,8
106,44.3,8
107,44.4,8
108,44.1,8
109,44.4,8
110,44.1,8
111,44.1,8
112,44.4,8
113,44.8,8
114,44.4,8
115,44.4,8
116,45.0,8
117,44.6,8
118,44.4,8
119,44.5,8
120,44.7,8
121,44.0,8
122,44.1,8
123,43.8,8
124,44.2,8
125,44.0,8
126,44.2,8
127,43.8,8
128,43.5,8
129,44.0,8
130,44.7,8
131,44.4,8
132,44.9,8
133,45.2,8
134,44.7,8
135,43.9,8
136,43.7,8
137,44.0,8
138,44.2,8
139,44.3,8
140,44.3,8
141,44.8,8
142,44.7,8
143,44.1,8
144,44.6,8
145,44.4,8
146,44.1,8
147,44.1,8
148,43.4,8
149,43.1,8
150,43.6,8
151,42.9,8
152,42.3,8
153,41.2,8
154,40.0,8
155,39.1,8
156,37.5,8
157,36.3,8
158,35.0,8
159,34.1,8
160,33.3,8
161,32.4,8
162,31.7,8
163,29.7,8
164,28.3,9
165,28.0,9
166,27.6,9
167,26.6,9
168,25.6,9
169,24.2,9
170,23.9,9
171,22.8,9
172,21.0,9
173,20.7,9
174,20.2,9
175,20.1,9
176,19.0,9
177,18.2,9
178,17.0,9
179,16.6,9
180,16.6,9
181,15.7,9
182,14.8,9
183,14.7,10
184,14.7,10
185,14.6,10
186,13.9,10
187,13.7,10
188,13.2,10
189,12.8,10
190,12.3,10
191,11.1,10
192,11.0,10
193,10.2,11
194,9.3,11
195,9.400001,11
196,9.3,11
197,8.7,11
198,9.2,11
199,8.900001,11
200,8.900001,11
201,8.5,12
202,8.5,12
203,7.0,12
204,6.0,12
205,6.5,12
206,6.3,12
207,6.6,12
208,5.9,12
209,6.5,13
210,6.8,13
211,6.2,13
212,6.3,13
213,6.4,13
214,6.3,13
215,6.4,13
216,6.2,13
217,6.6,13
218,6.6,13
219,6.9,13
220,6.9,13
221,6.8,13
222,7.1,13
223,6.9,14
224,6.4,14
225,6.3,14
226,6.2,14
227,6.0,14
228,5.6,14
229,5.9,14
230,6.1,14
231,6.0,14
232,6.1,14
233,6.3,14
234,6.4,14
235,6.6,14
236,6.6,14
237,6.9,14
238,6.8,14
239,6.9,14
240,6.7,14
241,6.3,14
242,6.3,14
243,6.3,14
244,6.4,14
245,6.4,14
246,6.3,14
247,6.3,14
248,6.4,14
249,6.5,14
250,6.3,14
251,6.2,14
252,6.1,14
253,6.1,14
254,5.9,14
255,6.2,14
256,6.1,14
257,6.2,14
258,6.1,14
259,6.1,14
260,5.9,14
261,5.9,14
262,6.1,14
263,6.1,14
264,6.1,14
265,6.0,14
266,6.1,14
267,6.0,14
268,6.2,14
269,5.8,14
270,6.2,14
271,6.2,14
272,6.2,14
273,6.1,14
274,6.1,14
275,6.0,14
276,5.9,14
277,5.8,14
278,5.9,14
279,4.9,14
280,4.2,14
281,2.6,14
282,0.0,14
283,0.0,14
284,0.0,14
285,0.0,14
286,0.0,14
287,0.0,14
